"id","age","gender","education","country","ethnicity","personality_neuroticism","personality_extraversion","personality_openness","personality_agreeableness","personality_conscientiousness","personality_impulsiveness","personality_sensation","consumption_alcohol","consumption_amphetamines","consumption_caffeine","consumption_cannabis","consumption_chocolate","consumption_mushrooms","consumption_nicotine","consumption_cocaine_last_month"
"train_0001","45-54","male","Masters degree","USA","Mixed-Black/Asian",57.6,57.3,50.1,47.8,53.7,42.8,22.4,"used in last week","used over a decade ago","used in last day","used in last week","used in last day","never used","used in last week","No"
"train_0002","25-34","male","University degree","USA","Mixed-Black/Asian",47.8,67,45.7,47.8,56,33.8,30.8,"used in last week","never used","used in last week","never used","used in last day","never used","never used","No"
"train_0003","18-24","female","University degree","USA","Mixed-Black/Asian",57.6,43.3,55.3,45.6,49.9,63,62,"used in last month","never used","used in last day","used in last week","used in last week","used in last year","used in last month","No"
"train_0004","25-34","female","Masters degree","USA","Mixed-Black/Asian",71.8,31.2,43.6,56.3,31.8,63,71.1,"used in last day","never used","used in last day","used in last decade","used in last day","never used","used in last decade","No"
"train_0005","18-24","male","Some college or university, no certificate or degree","Australia","Mixed-Black/Asian",56.1,62.3,70.2,66.1,42.4,50.4,62,"used in last week","never used","used in last month","used in last month","used in last day","used in last year","used in last month","No"
"train_0006","18-24","female","Left school at 18 years","Australia","Mixed-White/Black",47.8,20.7,57.8,41.2,33.6,56.5,62,"used in last year","never used","used in last day","used in last month","used in last month","used in last year","used in last decade","No"
"train_0007","25-34","male","Doctorate degree","USA","Mixed-White/Asian",75.2,69.6,62.5,54.2,38.7,56.5,22.4,"used in last day","used in last decade","used in last day","used in last decade","used in last month","never used","used in last day","Yes"
"train_0008","25-34","male","Doctorate degree","USA","Mixed-Black/Asian",53.4,54.9,27.8,70.9,66.4,21.5,38.8,"used in last year","used over a decade ago","used in last year","used over a decade ago","used in last day","never used","used over a decade ago","No"
"train_0009","18-24","female","University degree","Australia","Mixed-Black/Asian",60.8,72.2,62.5,51.9,63.6,50.4,100,"used in last day","used in last week","used in last day","used in last week","used in last year","used in last year","used in last day","Yes"
"train_0010","25-34","male","Masters degree","Ireland","Mixed-Black/Asian",30.1,93.7,64.7,82.2,53.7,56.5,100,"used in last week","used in last decade","used in last day","used in last decade","used in last day","never used","used in last year","No"
"train_0011","35-44","female","Left school at 18 years","USA","Mixed-Black/Asian",42.8,25.1,21,63.6,56,56.5,54,"used in last day","used in last year","used in last month","used in last month","used in last week","never used","used in last day","No"
"train_0012","18-24","female","Some college or university, no certificate or degree","Australia","Mixed-Black/Asian",66.6,67,64.7,51.9,35.4,80.9,82.6,"used in last month","used in last week","used in last day","used in last day","used in last week","used in last month","used in last day","Yes"
"train_0013","35-44","female","Professional certificate/ diploma","USA","Mixed-Black/Asian",69.7,31.2,25.8,34.5,40.6,80.9,54,"used in last day","used over a decade ago","used in last day","used in last year","used in last day","never used","used in last day","No"
"train_0014","18-24","female","Left school at 17 years","Other","Mixed-Black/Asian",49.2,50.1,62.5,45.6,28.1,70.5,82.6,"used in last week","used in last decade","used in last day","used in last year","used in last day","used in last year","used in last day","No"
"train_0015","18-24","female","Some college or university, no certificate or degree","Australia","Mixed-Black/Asian",63.7,33.3,62.5,61,33.6,63,38.8,"used in last day","used in last day","used in last week","used in last month","used in last week","used in last month","used in last month","Yes"
"train_0016","35-44","male","University degree","UK","Mixed-Black/Asian",54.7,50.1,50.1,41.2,42.4,63,71.1,"used in last week","used over a decade ago","used in last month","used in last day","used in last week","used in last month","used in last week","Yes"
"train_0017","18-24","female","Some college or university, no certificate or degree","Other","Mixed-Black/Asian",26.3,76.6,62.5,56.3,63.6,70.5,54,"used in last month","never used","used in last month","used in last month","used in last year","used in last month","never used","No"
"train_0018","18-24","female","University degree","Other","Mixed-Black/Asian",26.3,37.7,43.6,32.5,31.8,50.4,71.1,"used in last year","used in last month","used in last day","used in last year","used in last month","used in last year","never used","Yes"
"train_0019","25-34","male","Doctorate degree","Other","Mixed-Black/Asian",76.9,57.3,70.2,58.5,51.8,21.5,71.1,"used in last week","used in last year","used in last year","used in last year","used in last day","never used","never used","No"
"train_0020","25-34","female","Doctorate degree","Australia","Mixed-White/Black",46.2,57.3,52.7,41.2,49.9,56.5,82.6,"used in last week","used in last month","used in last day","used in last day","used in last year","used in last year","used in last day","No"
"train_0021","35-44","female","Professional certificate/ diploma","USA","Mixed-Black/Asian",39.7,47.6,52.7,76.2,40.6,42.8,22.4,"used in last month","used over a decade ago","used in last day","used in last day","used in last day","used over a decade ago","used in last day","No"
"train_0022","35-44","male","Left school at 16 years","USA","Mixed-Black/Asian",39.7,59.7,34.9,68.6,58.4,21.5,0,"used in last week","never used","used in last week","never used","used in last week","never used","used in last week","No"
"train_0023","18-24","male","Masters degree","USA","Mixed-Black/Asian",47.8,57.3,67.3,47.8,76.1,56.5,62,"used in last day","never used","used in last week","never used","used in last week","never used","never used","No"
"train_0024","25-34","female","Left school at 16 years","USA","Mixed-Black/Asian",46.2,50.1,43.6,36.8,60.9,56.5,62,"used over a decade ago","never used","never used","used in last day","used in last day","never used","never used","No"
"train_0025","45-54","male","Masters degree","USA","Mixed-Black/Asian",33.7,47.6,55.3,70.9,68.9,33.8,22.4,"used in last day","never used","used in last day","never used","used in last day","never used","never used","No"
"train_0026","18-24","male","Left school before 16 years","USA","Mixed-Black/Asian",56.1,50.1,50.1,68.6,49.9,50.4,46.6,"used in last week","used in last decade","used in last day","used in last year","used in last week","never used","used in last day","No"
"train_0027","18-24","male","Some college or university, no certificate or degree","Australia","Mixed-Black/Asian",54.7,37.7,64.7,82.2,66.4,56.5,82.6,"used in last week","never used","used in last day","used in last year","used in last month","never used","used in last year","No"
"train_0028","25-34","female","Some college or university, no certificate or degree","Australia","Mixed-Black/Asian",47.8,52.6,47.9,43.5,37,70.5,71.1,"used in last decade","used in last day","used in last day","used in last year","used in last month","used in last year","used in last day","No"
"train_0029","18-24","male","University degree","USA","Mixed-Black/Asian",44.5,47.6,43.6,63.6,47.9,70.5,82.6,"used in last week","used in last decade","used in last day","used in last decade","used in last year","never used","used in last decade","No"
"train_0030","25-34","female","Some college or university, no certificate or degree","USA","Mixed-Black/Asian",14,85.5,57.8,28.6,58.4,63,82.6,"used in last month","used over a decade ago","used in last day","used over a decade ago","used in last day","used in last decade","never used","No"
"train_0031","25-34","male","Professional certificate/ diploma","USA","Asian",52,50.1,37.2,43.5,63.6,56.5,38.8,"used in last decade","never used","used in last week","never used","used in last day","never used","never used","No"
"train_0032","18-24","female","Left school at 18 years","Australia","Mixed-Black/Asian",50.6,64.7,52.7,56.3,40.6,63,82.6,"used in last month","used in last day","used in last day","used in last day","used in last week","used in last month","used in last day","No"
"train_0033","35-44","male","University degree","USA","Mixed-Black/Asian",44.5,57.3,43.6,61,76.1,42.8,38.8,"used in last day","never used","used in last day","used in last decade","used in last day","used over a decade ago","used in last decade","No"
"train_0034","25-34","female","Masters degree","Canada","Mixed-Black/Asian",60.8,39.4,55.3,32.5,46,42.8,46.6,"used in last day","used in last decade","used in last day","used in last day","used in last day","used in last year","used in last year","No"
"train_0035","25-34","female","Masters degree","USA","Mixed-Black/Asian",46.2,45.4,70.2,36.8,47.9,63,46.6,"used in last week","used over a decade ago","used in last day","used in last decade","used in last week","used over a decade ago","used in last week","No"
"train_0036","18-24","female","Some college or university, no certificate or degree","USA","Mixed-Black/Asian",41.3,50.1,45.7,36.8,53.7,56.5,100,"used in last week","used in last year","used in last day","used in last day","used in last day","used in last year","used in last day","No"
"train_0037","35-44","female","Masters degree","USA","Mixed-Black/Asian",50.6,52.6,57.8,47.8,51.8,56.5,62,"used in last week","never used","used in last day","used over a decade ago","used in last week","never used","used in last week","No"
"train_0038","25-34","male","Left school before 16 years","Australia","Mixed-Black/Asian",47.8,59.7,41.4,36.8,53.7,70.5,46.6,"used in last year","used in last decade","used in last day","used in last year","used in last month","used in last decade","used in last day","No"
"train_0039","18-24","male","University degree","USA","Mixed-Black/Asian",68.2,62.3,62.5,63.6,28.1,63,30.8,"used in last week","never used","used in last week","used in last year","never used","used in last year","used in last week","No"
"train_0040","18-24","female","Some college or university, no certificate or degree","Australia","Mixed-Black/Asian",30.1,43.3,67.3,43.5,30,63,62,"used in last month","used in last decade","used in last week","used in last day","used in last day","used in last month","used in last month","No"
"train_0041","45-54","male","University degree","USA","Mixed-Black/Asian",41.3,54.9,45.7,56.3,49.9,50.4,46.6,"used in last month","never used","used in last day","used over a decade ago","used in last day","never used","never used","No"
